Name,Leaf_Length,Leaf_Width
Legend American Linden,7,6.5
Legend American Linden,8,7
Legend American Linden,6.5,6.5
Legend American Linden,8.9,7
Legend American Linden,8.5,7.2
Legend American Linden,7,6.3
Legend American Linden,5.4,4.1
Legend American Linden,9.1,7.6
Legend American Linden,9.4,8.2
Legend American Linden,8.4,6.8
Legend American Linden,7.5,6.8
Legend American Linden,7,6.6
Legend American Linden,8.7,7
Legend American Linden,8.4,7.1
Legend American Linden,8.3,6.9
Legend American Linden,7.1,6.2
Legend American Linden,8.6,7.1
Legend American Linden,9.2,8.1
Legend American Linden,7.8,7.8
Legend American Linden,7.2,6.6
Schlesinger Red Maple,8,9
Schlesinger Red Maple,8.4,9.3
Schlesinger Red Maple,8.9,9.7
Schlesinger Red Maple,8.5,9.2
Schlesinger Red Maple,8.9,9.4
Schlesinger Red Maple,9.8,9.9
Schlesinger Red Maple,9.4,8.2
Schlesinger Red Maple,7.9,8
Schlesinger Red Maple,8.7,8.9
Schlesinger Red Maple,7.5,8.3
Schlesinger Red Maple,7.5,9.3
Schlesinger Red Maple,7.8,7.3
Schlesinger Red Maple,8.6,9.8
Schlesinger Red Maple,8.4,9
Schlesinger Red Maple,7.5,8.5
Schlesinger Red Maple,7.2,8.8
Schlesinger Red Maple,8.3,9.4
Schlesinger Red Maple,9.3,10.7
Schlesinger Red Maple,9.6,10.3
Schlesinger Red Maple,8.3,9.5
Moraine Sweet Gum,12.5,9
Moraine Sweet Gum,10.3,12.1
Moraine Sweet Gum,9.5,12.4
Moraine Sweet Gum,6.7,9.3
Moraine Sweet Gum,8.4,12.1
Moraine Sweet Gum,9.4,13.2
Moraine Sweet Gum,9.6,14.8
Moraine Sweet Gum,9.3,12.9
Moraine Sweet Gum,10.7,14
Moraine Sweet Gum,9.1,12.9
Moraine Sweet Gum,9.9,11.9
Moraine Sweet Gum,10.4,14.2
Moraine Sweet Gum,11.9,15.4
Moraine Sweet Gum,10.2,12.4
Moraine Sweet Gum,13.8,17.7
Moraine Sweet Gum,10.7,14.3
Moraine Sweet Gum,10.8,13.7
Moraine Sweet Gum,11.2,15.7
Moraine Sweet Gum,13.1,16.6
Moraine Sweet Gum,12.7,19.2
