Team,Opponent,Home/Away,Possession,Fouls,Yellow Cards,Red Cards,Passes,Shots,On Target,Goals,Allowed,Result
Crystal Palace,Arsenal,Home,56.3,16,1,0,562,10,2,0,2,L
Arsenal,Crystal Palace,Away,43.7,11,2,0,438,10,2,2,0,W
Fulham,Liverpool,Home,33.1,7,2,0,294,9,3,2,2,D
Liverpool,Fulham,Away,66.9,9,0,0,612,11,4,2,2,D
Bournemouth,Aston Villa,Home,34.4,18,3,0,301,7,3,2,0,W
Aston Villa,Bournemouth,Away,65.6,16,3,0,571,15,2,0,2,L
Leeds,Wolves,Home,40.1,13,2,0,355,12,4,2,1,W
Wolves,Leeds,Away,59.9,9,0,0,546,15,6,1,2,L
Newcastle,Nottingham,Home,61.4,9,0,0,469,23,10,2,0,W
Nottingham,Newcastle,Away,38.6,14,3,0,294,5,0,0,2,L
Spurs,Southampton,Home,57.5,11,3,0,554,18,8,4,1,W
Southampton,Spurs,Away,42.5,6,0,0,410,10,2,1,4,L
Everton,Chelsea,Home,37.3,14,3,0,335,8,4,0,1,L
Chelsea,Everton,Away,62.7,11,2,0,566,15,6,1,0,W
Leicester,Brentford,Home,55.4,6,0,0,580,14,5,2,2,D
Brentford,Leicester,Away,44.6,5,0,0,457,8,3,2,2,D
Manchester United,Brighton,Home,62.9,7,4,0,548,17,5,1,2,L
Brighton,Manchester United,Away,37.1,12,1,0,326,15,4,2,1,W
West Ham,Manchester City,Home,24.6,8,0,0,263,6,1,0,2,L
Manchester City,West Ham,Away,75.4,4,1,0,833,14,2,2,0,W
Aston Villa,Everton,Home,57.5,9,4,0,517,12,4,3,1,W
Everton,Aston Villa,Away,42.5,7,1,0,378,15,4,1,3,L
Arsenal,Leicester,Home,49.9,15,1,0,462,19,7,4,2,W
Leicester,Arsenal,Away,50.1,9,1,0,472,6,2,2,4,L
Brighton,Newcastle,Home,54.5,8,2,0,374,13,7,0,0,D
Newcastle,Brighton,Away,45.5,6,3,0,314,4,1,0,0,D
Manchester City,Bournemouth,Home,66.7,9,0,0,696,19,7,4,0,W
Bournemouth,Manchester City,Away,33.3,9,3,0,353,3,1,0,4,L
Southampton,Leeds,Home,42.6,10,1,0,332,14,4,2,2,D
Leeds,Southampton,Away,57.4,12,3,0,454,13,5,2,2,D
Wolves,Fulham,Home,59.6,7,3,0,496,7,1,0,0,D
Fulham,Wolves,Away,40.4,14,3,0,328,9,3,0,0,D
Brentford,Manchester United,Home,33.3,6,0,0,255,13,7,4,0,W
Manchester United,Brentford,Away,66.7,15,4,0,525,15,4,0,4,L
Nottingham,West Ham,Home,43.2,10,4,0,288,13,6,1,0,W
West Ham,Nottingham,Away,56.8,11,1,0,381,19,5,0,1,L
Chelsea,Spurs,Home,63.7,9,3,0,597,16,3,2,2,D
Spurs,Chelsea,Away,36.3,9,0,0,340,10,5,2,2,D
Liverpool,Crystal Palace,Home,72.6,7,2,1,741,24,4,1,1,D
Crystal Palace,Liverpool,Away,27.4,8,4,0,274,7,3,1,1,D
Spurs,Wolves,Home,49.9,10,2,0,472,11,4,1,0,W
Wolves,Spurs,Away,50.1,8,2,0,477,20,3,0,1,L
Crystal Palace,Aston Villa,Home,50.8,16,2,0,448,17,9,3,1,W
Aston Villa,Crystal Palace,Away,49.2,14,1,0,428,13,5,1,3,L
Everton,Nottingham,Home,48.3,6,3,0,413,19,8,1,1,D
Nottingham,Everton,Away,51.7,9,2,0,444,14,5,1,1,D
Fulham,Brentford,Home,43.7,13,3,0,311,18,9,3,2,W
Brentford,Fulham,Away,56.3,7,2,0,417,13,5,2,3,L
Leicester,Southampton,Home,62,11,2,0,556,6,1,1,2,L
