Home Team,Away Team
Fulham,Chelsea
Bournemouth,Brighton
Leicester,Aston Villa
Liverpool,Wolves
Southampton,Brentford
Manchester City,Spurs
Arsenal,Everton
West Ham,Newcastle
Crystal Palace,Manchester United
Leeds,Nottingham
Brighton,Crystal Palace
Manchester United,Leeds
Chelsea,Liverpool
Aston Villa,Wolves
Chelsea,Manchester City
Crystal Palace,Spurs
Leeds,West Ham
Southampton,Nottingham
Aston Villa,Leeds
Brentford,Bournemouth
Brighton,Liverpool
Chelsea,Crystal Palace
Everton,Southampton
Manchester United,Manchester City
Newcastle,Fulham
Nottingham,Leicester
Spurs,Arsenal
Wolves,West Ham
Bournemouth,Nottingham
Arsenal,Manchester United
Crystal Palace,Newcastle
Fulham,Spurs
Leeds,Brentford
Leicester,Brighton
Liverpool,Chelsea
Manchester City,Wolves
Southampton,Aston Villa
West Ham,Everton
Aston Villa,Leicester
Brentford,Southampton
Brighton,Bournemouth
Chelsea,Fulham
Everton,Arsenal
Manchester United,Crystal Palace
Newcastle,West Ham
Nottingham,Leeds
Spurs,Manchester City
Wolves,Liverpool
Bournemouth,Newcastle
Arsenal,Brentford
Crystal Palace,Brighton
Fulham,Nottingham
Leeds,Manchester United
Leicester,Spurs
Liverpool,Everton
Manchester City,Aston Villa
Southampton,Wolves
West Ham,Chelsea
Aston Villa,Arsenal
Brentford,Crystal Palace
Brighton,Fulham
Chelsea,Southampton
Everton,Leeds
Manchester United,Leicester
Newcastle,Liverpool
Nottingham,Manchester City
Spurs,West Ham
Wolves,Bournemouth
Bournemouth,Manchester City
Crystal Palace,Liverpool
Everton,Aston Villa
Fulham,Wolves
Leeds,Southampton
Leicester,Arsenal
Manchester United,Brentford
Newcastle,Brighton
Spurs,Chelsea
West Ham,Nottingham
Arsenal,Bournemouth
Aston Villa,Crystal Palace
Brentford,Fulham
Brighton,West Ham
Chelsea,Leeds
Liverpool,Manchester United
Manchester City,Newcastle
Nottingham,Everton
Southampton,Leicester
Wolves,Spurs
Bournemouth,Liverpool
Crystal Palace,Manchester City
Everton,Brentford
Fulham,Arsenal
Leeds,Brighton
Leicester,Chelsea
Manchester United,Southampton
Newcastle,Wolves
Spurs,Nottingham
West Ham,Aston Villa
Arsenal,Crystal Palace
Aston Villa,Bournemouth
Brentford,Leicester
Brighton,Manchester United
Chelsea,Everton
Liverpool,Fulham
Manchester City,West Ham
Nottingham,Newcastle
Southampton,Spurs
Wolves,Leeds
Bournemouth,Fulham
Arsenal,Leeds
Brighton,Brentford
Chelsea,Aston Villa
Crystal Palace,Leicester
Everton,Spurs
Manchester City,Liverpool
Newcastle,Manchester United
Nottingham,Wolves
West Ham,Southampton
Aston Villa,Nottingham
Brentford,Newcastle
Fulham,West Ham
Leeds,Crystal Palace
Leicester,Bournemouth
Liverpool,Arsenal
Manchester United,Everton
Southampton,Manchester City
Spurs,Brighton
Wolves,Chelsea
Aston Villa,Newcastle
Chelsea,Brighton
Everton,Fulham
Leeds,Liverpool
Manchester City,Leicester
Nottingham,Manchester United
Southampton,Crystal Palace
Spurs,Bournemouth
West Ham,Arsenal
Wolves,Brentford
Bournemouth,West Ham
Arsenal,Southampton
Brentford,Aston Villa
Brighton,Manchester City
Crystal Palace,Everton
Fulham,Leeds
Leicester,Wolves
Liverpool,Nottingham
Manchester United,Chelsea
Newcastle,Spurs
Everton,Newcastle
Leeds,Leicester
Nottingham,Brighton
Spurs,Manchester United
West Ham,Liverpool
Wolves,Crystal Palace
Aston Villa,Fulham
Chelsea,Brentford
Southampton,Bournemouth
Manchester City,Arsenal
Bournemouth,Leeds
Arsenal,Chelsea
Brentford,Nottingham
Brighton,Wolves
Crystal Palace,West Ham
Fulham,Manchester City
Leicester,Everton
Liverpool,Spurs
Manchester United,Aston Villa
Newcastle,Southampton
Bournemouth,Chelsea
Brighton,Everton
Fulham,Leicester
Liverpool,Brentford
Manchester City,Leeds
Newcastle,Arsenal
Nottingham,Southampton
Spurs,Crystal Palace
West Ham,Manchester United
Wolves,Aston Villa
Arsenal,Brighton
Aston Villa,Spurs
Brentford,West Ham
Chelsea,Nottingham
Crystal Palace,Bournemouth
Everton,Manchester City
Leeds,Newcastle
Leicester,Liverpool
Manchester United,Wolves
Southampton,Fulham
Bournemouth,Manchester United
Brighton,Southampton
Fulham,Crystal Palace
Liverpool,Aston Villa
Manchester City,Chelsea
Newcastle,Leicester
Nottingham,Arsenal
Spurs,Brentford
West Ham,Leeds
Wolves,Everton
Arsenal,Wolves
Aston Villa,Brighton
Brentford,Manchester City
Chelsea,Newcastle
Crystal Palace,Nottingham
Everton,Bournemouth
Leeds,Spurs
Leicester,West Ham
Manchester United,Fulham
Southampton,Liverpool
Arsenal,Manchester City
