Team,Opponent,Home/Away,Possession,Fouls,Yellow Cards,Red Cards,Passes,Shots,On Target,Goals,Allowed,Result,Team SPI,Opponent SPI,SPI Difference,Team xG,Opponent xG,Team nsxG,Opponent nsxG,Total Generated,Total Conceded
Crystal Palace,Arsenal,Home,56.3,16,1,0,562,10,2,0,2,L,71.36,78.53,-7.17,1.3,1.36,1.4,2.41,2.7,3.77
Arsenal,Crystal Palace,Away,43.7,11,2,0,438,10,2,2,0,W,78.53,71.36,7.17,1.36,1.3,2.41,1.4,3.77,2.7
Fulham,Liverpool,Home,33.1,7,2,0,294,9,3,2,2,D,58.7,90.51,-31.81,1.25,2.57,0.78,1.41,2.03,3.98
Liverpool,Fulham,Away,66.9,9,0,0,612,11,4,2,2,D,90.51,58.7,31.81,2.57,1.25,1.41,0.78,3.98,2.03
Bournemouth,Aston Villa,Home,34.4,18,3,0,301,7,3,2,0,W,57.92,74.05,-16.13,0.49,0.68,0.79,1.95,1.28,2.63
Aston Villa,Bournemouth,Away,65.6,16,3,0,571,15,2,0,2,L,74.05,57.92,16.13,0.68,0.49,1.95,0.79,2.63,1.28
Leeds,Wolves,Home,40.1,13,2,0,355,12,4,2,1,W,62.15,67.72,-5.57,0.84,1.11,1.02,2.58,1.86,3.69
Wolves,Leeds,Away,59.9,9,0,0,546,15,6,1,2,L,67.72,62.15,5.57,1.11,0.84,2.58,1.02,3.69,1.86
Newcastle,Nottingham,Home,61.4,9,0,0,469,23,10,2,0,W,68.65,57.31,11.34,1.82,0.26,3.33,0.48,5.15,0.74
Nottingham,Newcastle,Away,38.6,14,3,0,294,5,0,0,2,L,57.31,68.65,-11.34,0.26,1.82,0.48,3.33,0.74,5.15
Spurs,Southampton,Home,57.5,11,3,0,554,18,8,4,1,W,81.87,61.33,20.54,1.91,0.54,1.88,1.23,3.79,1.77
Southampton,Spurs,Away,42.5,6,0,0,410,10,2,1,4,L,61.33,81.87,-20.54,0.54,1.91,1.23,1.88,1.77,3.79
Everton,Chelsea,Home,37.3,14,3,0,335,8,4,0,1,L,63.82,85.73,-21.91,0.5,2.12,0.95,1.36,1.45,3.48
Chelsea,Everton,Away,62.7,11,2,0,566,15,6,1,0,W,85.73,63.82,21.91,2.12,0.5,1.36,0.95,3.48,1.45
Leicester,Brentford,Home,55.4,6,0,0,580,14,5,2,2,D,71.24,68.58,2.66,0.6,1.05,0.82,0.42,1.42,1.47
Brentford,Leicester,Away,44.6,5,0,0,457,8,3,2,2,D,68.58,71.24,-2.66,1.05,0.6,0.42,0.82,1.47,1.42
Manchester United,Brighton,Home,62.9,7,4,0,548,17,5,1,2,L,75.25,73.74,1.51,1.7,1.68,1.91,1.35,3.61,3.03
Brighton,Manchester United,Away,37.1,12,1,0,326,15,4,2,1,W,73.74,75.25,-1.51,1.68,1.7,1.35,1.91,3.03,3.61
West Ham,Manchester City,Home,24.6,8,0,0,263,6,1,0,2,L,70.62,92.31,-21.69,0.34,2.39,0.58,1.85,0.92,4.24
Manchester City,West Ham,Away,75.4,4,1,0,833,14,2,2,0,W,92.31,70.62,21.69,2.39,0.34,1.85,0.58,4.24,0.92
Aston Villa,Everton,Home,57.5,9,4,0,517,12,4,3,1,W,73.64,63.68,9.96,2.38,1.54,1.96,1.06,4.34,2.6
Everton,Aston Villa,Away,42.5,7,1,0,378,15,4,1,3,L,63.68,73.64,-9.96,1.54,2.38,1.06,1.96,2.6,4.34
Arsenal,Leicester,Home,49.9,15,1,0,462,19,7,4,2,W,79.19,70.86,8.33,2.89,0.76,2.11,0.35,5,1.11
Leicester,Arsenal,Away,50.1,9,1,0,472,6,2,2,4,L,70.86,79.19,-8.33,0.76,2.89,0.35,2.11,1.11,5
Manchester City,Bournemouth,Home,66.7,9,0,0,696,19,7,4,0,W,92.69,58.63,34.06,1.76,0.18,2.27,0.28,4.03,0.46
Bournemouth,Manchester City,Away,33.3,9,3,0,353,3,1,0,4,L,58.63,92.69,-34.06,0.18,1.76,0.28,2.27,0.46,4.03
Wolves,Fulham,Home,59.6,7,3,0,496,7,1,0,0,D,68.05,59.97,8.08,1.13,1.22,0.51,0.54,1.64,1.76
Fulham,Wolves,Away,40.4,14,3,0,328,9,3,0,0,D,59.97,68.05,-8.08,1.22,1.13,0.54,0.51,1.76,1.64
Southampton,Leeds,Home,42.6,10,1,0,332,14,4,2,2,D,61.1,61.68,-0.58,1.37,1.98,1.18,1.24,2.55,3.22
Leeds,Southampton,Away,57.4,12,3,0,454,13,5,2,2,D,61.68,61.1,0.58,1.98,1.37,1.24,1.18,3.22,2.55
Brighton,Newcastle,Home,54.5,8,2,0,374,13,7,0,0,D,74.21,70.26,3.95,1.6,0.16,1.68,0.7,3.28,0.86
Newcastle,Brighton,Away,45.5,6,3,0,314,4,1,0,0,D,70.26,74.21,-3.95,0.16,1.6,0.7,1.68,0.86,3.28
Brentford,Manchester United,Home,33.3,6,0,0,255,13,7,4,0,W,69.12,74.6,-5.48,1.52,1.28,1.03,2.24,2.55,3.52
Manchester United,Brentford,Away,66.7,15,4,0,525,15,4,0,4,L,74.6,69.12,5.48,1.28,1.52,2.24,1.03,3.52,2.55
Nottingham,West Ham,Home,43.2,10,4,0,288,13,6,1,0,W,55.56,70.06,-14.5,2.1,2.26,1.12,1.59,3.22,3.85
West Ham,Nottingham,Away,56.8,11,1,0,381,19,5,0,1,L,70.06,55.56,14.5,2.26,2.1,1.59,1.12,3.85,3.22
Chelsea,Spurs,Home,63.7,9,3,0,597,16,3,2,2,D,86.03,81.93,4.1,1.85,1.8,1.8,0.9,3.65,2.7
Spurs,Chelsea,Away,36.3,9,0,0,340,10,5,2,2,D,81.93,86.03,-4.1,1.8,1.85,0.9,1.8,2.7,3.65
Liverpool,Crystal Palace,Home,72.6,7,2,1,741,24,4,1,1,D,89.69,70.58,19.11,2.58,1.48,3.1,0.58,5.68,2.06
Crystal Palace,Liverpool,Away,27.4,8,4,0,274,7,3,1,1,D,70.58,89.69,-19.11,1.48,2.58,0.58,3.1,2.06,5.68
Spurs,Wolves,Home,49.9,10,2,0,472,11,4,1,0,W,82.05,67.73,14.32,1.91,0.8,1.61,1.21,3.52,2.01
Wolves,Spurs,Away,50.1,8,2,0,477,20,3,0,1,L,67.73,82.05,-14.32,0.8,1.91,1.21,1.61,2.01,3.52
Crystal Palace,Aston Villa,Home,50.8,16,2,0,448,17,9,3,1,W,71.02,73.56,-2.54,3.31,0.96,1.44,0.92,4.75,1.88
Aston Villa,Crystal Palace,Away,49.2,14,1,0,428,13,5,1,3,L,73.56,71.02,2.54,0.96,3.31,0.92,1.44,1.88,4.75
Everton,Nottingham,Home,48.3,6,3,0,413,19,8,1,1,D,63.52,56.06,7.46,1.51,1.02,1.05,0.63,2.56,1.65
Nottingham,Everton,Away,51.7,9,2,0,444,14,5,1,1,D,56.06,63.52,-7.46,1.02,1.51,0.63,1.05,1.65,2.56
Fulham,Brentford,Home,43.7,13,3,0,311,18,9,3,2,W,60.92,70.23,-9.31,2.61,1.59,1.44,1.67,4.05,3.26
Brentford,Fulham,Away,56.3,7,2,0,417,13,5,2,3,L,70.23,60.92,9.31,1.59,2.61,1.67,1.44,3.26,4.05
Leicester,Southampton,Home,62,11,2,0,556,6,1,1,2,L,69.64,60.47,9.17,0.25,1.53,0.81,1.51,1.06,3.04
Southampton,Leicester,Away,38,15,3,0,335,9,3,2,1,W,60.47,69.64,-9.17,1.53,0.25,1.51,0.81,3.04,1.06
Bournemouth,Arsenal,Home,41.8,12,2,0,411,6,1,0,3,L,58.42,79.94,-21.52,0.22,1.76,1.02,1.36,1.24,3.12
