Start,Team,Games,Wins,Draws,Losses,Points,No,Scored,Against,End
[15, 'Crystal Palace',38,10,12,16,42, nan,36,44, -8]
[12, 'Crystal Palace',38,12,11,15,47, nan,38,41, -3]
[11, 'Crystal Palace',38,12,15,11,51, nan,44,45, -1]
[11, 'Crystal Palace',38,13,14,11,53, nan,44,44, 0]
[12, 'Crystal Palace',38,13,13,12,52, nan,39,37, 2]
[9, 'Crystal Palace',38,14,13,11,55, nan,45,41, 4]
[10, 'Crystal Palace',38,13,12,13,51, nan,38,41, -3]
[12, 'Crystal Palace',38,13,10,15,49, nan,43,50, -7]
[11, 'Crystal Palace',38,11,15,12,48, nan,42,43, -1]
[11, 'Crystal Palace',38,11,15,12,48, nan,38,40, -2]
[9, 'Crystal Palace',38,15,12,11,57, nan,46,42, 4]
[10, 'Crystal Palace',38,14,9,15,51, nan,41,45, -4]
[10, 'Crystal Palace',38,12,12,14,48, nan,42,43, -1]
[13, 'Crystal Palace',38,12,10,16,46, nan,40,48, -8]
[9, 'Crystal Palace',38,14,9,15,51, nan,34,38, -4]
[10, 'Crystal Palace',38,13,13,12,52, nan,42,41, 1]
[9, 'Crystal Palace',38,14,11,13,53, nan,42,42, 0]
[9, 'Crystal Palace',38,14,13,11,55, nan,41,39, 2]
[13, 'Crystal Palace',38,12,10,16,46, nan,38,44, -6]
[12, 'Crystal Palace',38,13,9,16,48, nan,44,51, -7]
[14, 'Crystal Palace',38,11,11,16,44, nan,39,46, -7]
[9, 'Crystal Palace',38,13,16,9,55, nan,41,39, 2]
[11, 'Crystal Palace',38,13,13,12,52, nan,43,41, 2]
[15, 'Crystal Palace',38,10,12,16,42, nan,36,45, -9]
[14, 'Crystal Palace',38,11,12,15,45, nan,39,44, -5]
[12, 'Crystal Palace',38,10,15,13,45, nan,40,46, -6]
[12, 'Crystal Palace',38,12,12,14,48, nan,39,46, -7]
[9, 'Crystal Palace',38,14,11,13,53, nan,38,36, 2]
[14, 'Crystal Palace',38,7,16,15,37, nan,38,50, -12]
[12, 'Crystal Palace',38,13,9,16,48, nan,36,41, -5]
[9, 'Crystal Palace',38,11,16,11,49, nan,40,39, 1]
[8, 'Crystal Palace',38,16,13,9,61, nan,47,38, 9]
[11, 'Crystal Palace',38,13,12,13,51, nan,40,42, -2]
[11, 'Crystal Palace',38,9,20,9,47, nan,40,44, -4]
[12, 'Crystal Palace',38,12,11,15,47, nan,46,51, -5]
[12, 'Crystal Palace',38,10,13,15,43, nan,44,53, -9]
[8, 'Crystal Palace',38,14,12,12,54, nan,44,43, 1]
[13, 'Crystal Palace',38,12,13,13,49, nan,41,43, -2]
[10, 'Crystal Palace',38,14,12,12,54, nan,41,41, 0]
[10, 'Crystal Palace',38,14,12,12,54, nan,42,37, 5]
[11, 'Crystal Palace',38,10,17,11,47, nan,41,42, -1]
[9, 'Crystal Palace',38,16,9,13,57, nan,44,45, -1]
